1,2014,1,1,399,20,3,4
1,2014,1,2,399,20,3,4
1,2014,2,1,399,40,2,4
1,2014,1,3,400,20,2,3
1,2014,1,4,400,20,3,4
1,2014,1,5,400,20,3,4
1,2014,1,6,400,70,2,3
1,2014,1,7,400,20,2,5
1,2014,2,4,400,50,2,4
1,2014,2,8,400,20,2,5
1,2014,2,9,400,20,2,5
1,2014,3,10,400,20,5,6
1,2014,3,8,400,40,3,5
1,2014,1,11,401,20,3,4
1,2014,1,12,401,20,3,4
1,2014,2,13,401,40,2,4
1,2014,1,14,401,20,2,3
1,2014,1,15,402,20,3,4
1,2014,1,16,402,20,3,4
1,2014,1,17,402,70,2,3
1,2014,1,18,402,20,2,5
1,2014,2,19,402,50,2,4
1,2014,2,20,402,20,2,5
1,2014,2,21,402,20,2,5
1,2014,3,22,402,20,5,6
1,2014,3,23,402,40,3,5
2,2014,1,1,399,20,3,4
2,2014,1,2,399,20,3,4
2,2014,1,3,399,20,2,4
2,2014,1,4,399,20,2,3
2,2014,1,5,399,20,3,4
2,2014,1,6,399,20,3,4
2,2014,1,7,399,40,2,3
2,2014,1,8,399,20,2,5
2,2014,2,9,399,20,2,4
2,2014,2,10,399,20,2,5
2,2014,2,1,399,80,2,5
2,2014,2,2,399,50,5,6
2,2014,2,11,399,60,3,5
2,2014,3,12,399,20,3,4
2,2014,3,13,399,20,3,4
2,2014,3,16,399,40,3,5
2,2014,3,17,399,20,6,6
2,2014,1,18,400,20,3,4
2,2014,1,19,400,20,3,4
2,2014,1,20,400,20,3,4
2,2014,1,21,400,20,3,4
2,2014,1,22,400,20,3,4
2,2014,1,23,400,20,3,4
2,2014,1,24,400,40,2,5
2,2014,2,25,400,60,3,5
2,2014,2,26,400,20,3,4
2,2014,2,27,400,20,3,4
2,2014,2,20,400,40,3,4
2,2014,2,21,400,70,3,5
2,2014,2,22,400,80,2,5
2,2014,1,28,401,20,3,4
2,2014,1,29,401,20,3,4
2,2014,1,30,401,20,2,4
2,2014,1,31,401,20,2,3
2,2014,1,32,401,20,3,4
2,2014,1,33,401,20,3,4
2,2014,1,34,401,40,2,3
2,2014,1,35,401,20,2,5
2,2014,2,36,401,20,2,4
2,2014,2,37,401,20,2,5
2,2014,2,38,401,80,2,5
2,2014,2,39,401,50,5,6
2,2014,2,40,401,60,3,5
2,2014,3,41,401,20,3,4
2,2014,3,42,401,20,3,4
2,2014,3,43,401,40,3,5
2,2014,3,44,401,20,6,6
2,2014,1,45,402,20,3,4
2,2014,1,46,402,20,3,4
2,2014,1,47,402,20,3,4
2,2014,1,48,402,20,3,4
2,2014,1,49,402,20,3,4
2,2014,1,50,402,20,3,4
2,2014,1,51,402,40,2,5
2,2014,2,52,402,60,3,5
2,2014,2,53,402,20,3,4
2,2014,2,54,402,20,3,4
2,2014,2,55,402,40,3,4
2,2014,2,56,402,70,3,5
2,2014,2,57,402,80,2,5
3,2014,1,1,399,20,3,4
3,2014,1,2,399,20,3,4
3,2014,1,3,399,40,2,4
3,2014,1,4,399,40,2,4
3,2014,1,5,399,20,3,4
3,2014,1,6,399,70,3,5
3,2014,1,7,399,20,3,4
3,2014,1,8,400,20,3,4
3,2014,1,9,400,20,3,4
3,2014,1,10,400,80,2,5
3,2014,1,11,400,20,3,4
3,2014,1,12,400,20,3,4
3,2014,1,13,400,20,3,4
3,2014,1,14,401,20,3,4
3,2014,1,15,401,20,3,4
3,2014,1,16,401,40,2,4
3,2014,1,17,401,40,2,4
3,2014,1,18,401,20,3,4
3,2014,1,19,401,70,3,5
3,2014,1,20,401,20,3,4
3,2014,1,21,401,20,3,4
3,2014,1,22,401,20,3,4
3,2014,1,23,402,80,2,5
3,2014,1,24,402,20,3,4
3,2014,1,25,402,20,3,4
3,2014,1,26,402,20,3,4
3,2014,1,24,402,20,3,4
3,2014,1,25,402,20,3,4
3,2014,1,26,402,20,3,4
3,2014,1,24,402,20,3,4
3,2014,1,25,402,20,3,4
3,2014,1,26,402,20,3,4
